Lmod Warning: Input module (gcc) not found, using module: GCC . . . (ICER v.) 


# Running code with OMP_NUM_THREADS= 1
#  N=  , time (s)
  100, 0.000872
  100, 0.000856
  100, 0.000864
  100, 0.000858
  100, 0.000868
  100, 0.000862
  100, 0.000865
  100, 0.000867
  100, 0.000863
  100, 0.000862
  100, 0.000864
  100, 0.000869
  100, 0.001217
  100, 0.000875
  100, 0.000862
  100, 0.000862
  100, 0.000862
  100, 0.000861
  100, 0.000862
  100, 0.000861
  100, 0.000879
  100, 0.0011
  100, 0.000874
  100, 0.000853
  100, 0.000861
  100, 0.00086
  100, 0.00086
# Running code with OMP_NUM_THREADS= 24
#  N=  , time (s)
  100, 0.001478
  100, 0.000887
  100, 0.000872
  100, 0.000857
  100, 0.000866
  100, 0.000861
  100, 0.000861
  100, 0.000852
  100, 0.00089
  100, 0.000862
  100, 0.000865
  100, 0.000866
  100, 0.000861
  100, 0.000861
  100, 0.000851
  100, 0.000868
  100, 0.000869
  100, 0.000862
  100, 0.000862
  100, 0.000857
  100, 0.000857
  100, 0.000865
  100, 0.000859
  100, 0.000858
  100, 0.000866
  100, 0.000852
  100, 0.000849
  100, 0.000866
  100, 0.000859
  100, 0.000862
  100, 0.000857
  100, 0.000857
  100, 0.000864
  100, 0.000861
  100, 0.000859
  100, 0.000861
  100, 0.000861
  100, 0.000866
  100, 0.000857
  100, 0.000852
  100, 0.000852
  100, 0.000865
  100, 0.00086
  100, 0.000866
  100, 0.000857
  100, 0.000857
  100, 0.000862
  100, 0.000857
  100, 0.000863
  100, 0.000866
  100, 0.000865
  100, 0.000861
  100, 0.000857
  100, 0.000857
  100, 0.000851
  100, 0.00086
  100, 0.00086
  100, 0.000868
  100, 0.000857
  100, 0.000856
  100, 0.000863
  100, 0.000862
  100, 0.000856
  100, 0.000856
  100, 0.000859
  100, 0.00086
  100, 0.000865
  100, 0.000857
  100, 0.000852
  100, 0.00086
  100, 0.000863
  100, 0.000855
  100, 0.000855
  100, 0.000851
  100, 0.000863
  100, 0.000858
  100, 0.000874
  100, 0.000864
  100, 0.000858
  100, 0.000862
  100, 0.000852
  100, 0.000872
  100, 0.000861
  100, 0.000869
  100, 0.000857
  100, 0.000857
  100, 0.000861
  100, 0.000859
  100, 0.000869
  100, 0.000868
  100, 0.000859
  100, 0.000867
  100, 0.000872
  100, 0.001019
  100, 0.000901
  100, 0.000863
  100, 0.000856
  100, 0.000858
  100, 0.000863
  100, 0.000857
# SWITCHING TO 1000x1000
# Running code with OMP_NUM_THREADS= 1
#  N=  , time (s)
 1000, 17.0749
 1000, 16.4824
 1000, 16.5143
 1000, 16.4398
 1000, 16.4046
 1000, 16.5582
 1000, 16.5028
 1000, 16.3441
 1000, 16.3441
 1000, 16.41
 1000, 16.4281
 1000, 16.3535
 1000, 16.436
 1000, 16.4659
 1000, 16.428
 1000, 16.4905
 1000, 16.4103
 1000, 16.4428
 1000, 15.929
 1000, 16.4378
 1000, 16.4591
 1000, 16.4419
 1000, 16.3606
 1000, 16.5671
 1000, 16.4484
 1000, 16.3157
 1000, 16.153
 1000, 16.2001
 1000, 15.9706
 1000, 16.0582
 1000, 16.0437
 1000, 16.109
 1000, 16.0543
 1000, 16.1057
 1000, 16.0784
slurmstepd: error: *** JOB 33065046 ON lac-093 CANCELLED AT 2024-03-25T11:06:16 DUE TO TIME LIMIT ***
